team_id,current_rank,category_wins,category_losses,category_ties
moonshot-accountants,1,138,82,10
walkoff-book-club,2,132,88,10
warning-track-heroes,3,127,93,10
dugout-philosophers,4,121,99,10
bat-flip-bureau,5,116,104,10
high-socks-union,6,111,109,10
popup-practitioners,7,106,114,10
box-score-poets,8,102,118,10
cellar-strategists,9,99,121,10
late-inning-laundry,10,96,124,10
foul-line-analysts,11,92,128,10
rain-delay-regulars,12,89,131,10
bullpen-committee,13,86,134,10
waiver-wire-interns,14,83,137,10
bench-depth-department,15,80,140,10
last-pick-legends,16,77,143,10
